"","TCT_baseMean","TCT_log2FoldChange","TCT_lfcSE","TCT_stat","TCT_pvalue","TCT_padj","TNF_baseMean","TNF_log2FoldChange","TNF_lfcSE","TNF_stat","TNF_pvalue","TNF_padj","SYMBOL","SameDirection"
"ENSMUSG00000000094",6.27991480621879,0.37766463219298,0.555623349269537,0.639465238412967,0.522520320493535,NA,7.5990841349095,2.05065180866913,0.544465375585349,3.5831713158583,0.000339447819593716,0.00528128332262571,"Tbx4",TRUE
"ENSMUSG00000000142",653.206047325849,-0.234307204698512,0.487367419257989,-0.934813160427207,0.34988459610614,0.728563662955121,649.130660397953,-0.660121184336474,0.213812595975151,-3.11752471027468,0.00182376657389819,0.0203380284899463,"Axin2",TRUE
"ENSMUSG00000000290",967.811952909325,2.44803545030275,0.487715371846229,4.14551948443575,3.39044167130407e-05,0.00549214698124398,496.829801978817,1.6815742634284,0.300837543966224,5.4725780666114,4.43535266736258e-08,2.19761489238584e-06,"Itgb2",TRUE
"ENSMUSG00000000374",2273.54794992669,-0.193224379039551,0.316296712271827,-0.661693104178406,0.508167925002123,0.813403213253198,1057.55976042345,-0.656602987106999,0.173642470269967,-3.7647624763438,0.000166707473091819,0.00289276986982495,"Trappc10",TRUE
"ENSMUSG00000000409",391.608187068682,2.23016374158608,0.469531883764837,3.88613308572271,0.000101853682196142,0.010938224656025,176.561443715936,-0.0246931346209471,0.437178768754383,0.113486845188074,0.909644591722407,0.978658610918828,"Lck",FALSE
"ENSMUSG00000000420",2953.10363475064,0.120221870633937,0.359864394938176,-0.0741658079368776,0.940878452209201,0.9853075379997,2252.13631746516,-0.544335845244054,0.176138131195589,-3.0873659216788,0.00201938846579767,0.0218683338700335,"Galnt1",FALSE
"ENSMUSG00000000486",216.047103038382,2.37882451045209,0.477513341246581,4.30830415592466,1.64511053377539e-05,0.00377185881305456,159.499496181832,0.481640430389213,0.448388610688162,1.01276102254211,0.311174322463173,0.668427126421746,"Sept1",TRUE
"ENSMUSG00000000538",1320.42452943985,-0.771437081368664,0.393899176560036,-2.00257503280701,0.0452229219607272,0.414529994076895,978.063236737187,-0.735181206257746,0.252957112865833,-2.85115267304778,0.00435610480387574,0.0401294940828438,"Tom1l2",TRUE
"ENSMUSG00000000555",916.159802302953,0.141933806624363,0.349459324078142,0.713000556403048,0.475845412835103,0.799783068508343,218.029651548172,1.11859182599872,0.325338865502617,3.48939501442772,0.000484115180064415,0.00703836342155264,"Itga5",TRUE
"ENSMUSG00000000594",1120.52708021814,1.01078715336419,0.297278508845711,3.39086360687888,0.000696727654404477,0.0390350835849245,826.757251277902,1.35779278177343,0.22496056320597,5.935717981884,2.92562326332473e-09,1.96297130872159e-07,"Gm2a",TRUE
