"","NI_V_1","NI_V_2","NI_V_3","NI_V_4","NI_V_5","I_V_1","I_V_2","I_V_3","I_V_4","I_V_5"
"ENSMUSG00000000001",2920.47647329234,3593.62978359159,3463.0975238314,3880.50550084496,3532.56486263728,2745.58414081516,2911.79216731134,3149.43376963288,2460.03443176927,2786.21096914204
"ENSMUSG00000000028",106.343758407061,60.4108609183638,107.269881811468,92.3869614676429,121.466636732183,97.0724774666546,70.3897592198939,103.7286290661,101.511160571584,103.033569006685
"ENSMUSG00000000037",7.30133032375363,14.4849006116107,8.22076063041509,3.70738897018549,3.95181752547303,3.93179062626458,1.89636720063342,4.02286362695979,3.12199976373692,6.37412923192382
"ENSMUSG00000000049",7.81122929959267,9.75995309825382,17.0857259819605,8.54310045319821,8.85634963449009,9.4331733659976,1.76915917533501,20.1220692602767,8.48209890105743,25.3073171120854
"ENSMUSG00000000056",466.138603174139,511.299424369784,713.65705385919,834.101292047769,803.712183258019,661.701442137077,545.055316791891,793.938967271945,499.695020130836,469.906356081196
"ENSMUSG00000000058",150.646100075813,162.191863613038,101.041764966823,161.900933606285,74.2089302284498,68.8005826947279,92.4584921342894,61.3034824229525,54.5009720683565,111.628867341732
"ENSMUSG00000000078",2492.09096283648,3853.61493766348,2979.84876161958,4448.02752871831,3854.95105581478,2337.31692330972,4133.9323853231,3963.66373761717,3421.03038122186,3000.7118013825
"ENSMUSG00000000085",148.603714121427,72.329641766968,93.5035284596108,78.859327519383,132.178646749189,203.752470658726,150.57856089774,130.173749478355,164.326824373314,162.387060300102
"ENSMUSG00000000088",2806.9008890179,3391.69290612359,3390.00700790174,5701.97790221632,3697.70327782706,2155.34818340813,3623.8542426377,4315.81548344683,4169.13055914295,2467.91788522744
"ENSMUSG00000000093",59.9097166069048,107.801759561229,32.358326673381,19.3084477371117,23.091021520685,66.0513887890945,44.4571062191009,33.2112795344208,40.205085744719,50.6910277307993
"ENSMUSG00000000094",0.708679161097458,2.21163019596699,2.90077065819198,1.05235349585564,0,28.3055180991477,8.70340282975583,15.2790839987803,8.05532968416033,8.77407322613881
"ENSMUSG00000000120",72.9462092338622,111.651031647548,30.0410249713781,11.7175662630034,17.9541059944878,27.33639357005,24.3716395307489,21.7863953148727,20.9165750670276,54.4485333258849
"ENSMUSG00000000125",81.4710432123323,50.6513986452558,85.1532259676113,71.4036245903501,75.5506608097696,44.5681368880678,15.2752809318109,48.0769561771124,57.4259284479028,102.292000540264
"ENSMUSG00000000126",13.203520107296,28.3454546863744,11.586969418587,6.37813989073521,18.2519122102206,8.82791933242695,15.5718748884885,14.3984042760577,13.8759505231193,16.0962943856667
"ENSMUSG00000000127",99.2728408429681,143.775253484053,121.358150682483,116.255752769001,109.203912248438,96.782309354365,118.27211944763,135.085144747344,107.768893221392,95.6673139841028
