"","NI_V_1","NI_V_2","NI_V_3","NI_V_4","NI_V_5","NI_MKI_1","NI_MKI_2","NI_MKI_3","NI_MKI_4","NI_MKI_5"
"ENSMUSG00000000001",11.6506605471822,11.964642857698,11.8941054606211,12.0331403709387,11.9204393993076,12.0209810933525,11.8781344200034,12.1452778313344,11.4049065685919,11.9629769138412
"ENSMUSG00000000028",7.31982566690817,6.75487510637137,7.32982136029671,7.1519745473439,7.46586421442391,7.29377377407615,7.34418600832331,6.77008446329873,7.54253744867796,6.8917708015561
"ENSMUSG00000000037",5.24403976611442,5.55397307475138,5.29019941815452,5.02106001215997,5.042841041157,5.18493723089651,4.84415775637449,5.06777155117574,5.1868379621519,5.92224021169103
"ENSMUSG00000000049",5.41324820927568,5.52620436021793,5.83759822130267,5.44730443616087,5.47152414609691,5.60428567532519,5.76700618847169,5.26166528242038,5.46204258581064,5.56759450870959
"ENSMUSG00000000056",9.01291907709107,9.15302955051907,9.58593915343507,9.77672856105832,9.74635807386901,9.77902184680087,10.052618810956,9.53666722548752,9.28788791685704,9.49034298711378
"ENSMUSG00000000058",7.63910270636682,7.73999061485234,7.19643002696115,7.70424109947037,6.87873727403854,6.90094754176621,7.17386054457209,6.38085012281444,6.81929779217541,6.92833867150555
"ENSMUSG00000000078",11.4213885611935,12.0604961476394,11.6761611051466,12.2242742262255,12.0412199144237,11.8192944386532,11.9977044425106,12.209044891648,11.6420235492851,11.9326496296418
"ENSMUSG00000000085",7.72434234559139,6.9535947752537,7.20656963628742,7.01190634622722,7.58782419158509,7.69751230929142,6.83576218841207,7.25099734968516,7.58858292920641,7.39118394486216
"ENSMUSG00000000088",11.5900008215708,11.8779096432491,11.8594467140571,12.5792259425126,11.9813701730448,11.4953107763788,12.3774190172749,11.8830707854689,12.1760956868169,11.6294873200406
"ENSMUSG00000000093",6.70494244409962,7.31427497686876,6.1806726602016,5.81052475477797,5.93651721209306,6.56502126149361,6.16319985521285,6.0434189703267,6.48912207472727,6.41271640015081
"ENSMUSG00000000094",4.73868181898086,4.94458877535312,5.00914820778618,4.79415785673435,4.47218241783699,4.8723116808664,4.47218241783699,4.90628030268751,4.89122524651296,4.76631304080302
"ENSMUSG00000000120",6.88732615020008,7.34465118287927,6.1190297857685,5.52510372801631,5.77040194897817,6.56629237043898,5.85059005416281,6.03074137101205,6.02042389756453,6.01078700516543
"ENSMUSG00000000125",7.00205988641325,6.56015498885984,7.04775486797035,6.85463188530565,6.92517042453526,7.19924784262395,6.94977353648321,6.50759795522592,6.96592835008248,6.81820651056892
"ENSMUSG00000000126",5.59707272679658,6.08767484811896,5.52931316266355,5.25788587189533,5.78240194701272,5.66797211389916,5.11150805971983,5.5218597444052,5.25039182993377,5.54662977983583
"ENSMUSG00000000127",7.22348844079816,7.65038576878663,7.44362941532747,7.37781590800333,7.32555560603781,7.61337166944631,7.66025547298052,7.56766397074701,7.1125336268912,6.99319118634995
"ENSMUSG00000000131",9.24092459982724,8.92758696362292,9.44188545600192,8.54110171091477,9.02449842093469,9.07579161790971,8.65714804855379,9.09611630436214,8.70197572161315,9.45074507930486
"ENSMUSG00000000134",8.01741920558903,8.3882830403611,8.75501570368044,8.05716231441768,8.89807211140105,8.67941513205525,8.60060439991743,8.38963108937214,7.87816616693878,9.10204808498007
"ENSMUSG00000000142",10.1178890986435,9.9723790016819,9.60300553981629,9.22530000786785,9.68200386774367,9.78369932732507,9.0622618943817,9.80787686681208,9.47085545871783,10.1181305951608
"ENSMUSG00000000148",7.43309928942715,7.49736479627504,7.75825452316425,6.8514893117058,7.46449873092909,7.50167148438794,7.03687091919729,7.5259994298555,7.26206571145683,7.59731192148108
"ENSMUSG00000000149",8.92430174437,9.04821988500091,8.63378502393103,7.92481163097898,8.3347183421367,8.63966701378561,8.34926404057848,8.27641059849758,8.50220370374975,8.70373550183683
"ENSMUSG00000000154",9.26777134615676,9.72542124052163,9.46966769586563,9.79401237000148,9.69630466621752,9.29965493182434,9.82883224404333,9.9665827668782,9.48965527398877,9.63332493707766
"ENSMUSG00000000159",9.41457044280431,9.66987966033121,9.81717931361041,10.7189311816553,9.77021872564684,9.34743265153214,10.2067940603654,10.012619987984,10.0320288152967,9.41821570799859
"ENSMUSG00000000167",5.52779661620294,5.16049779801519,5.06504080774643,5.24589225288062,5.29700402525427,4.78458906876437,5.35693200972891,5.07334617354256,5.19442838943974,5.00314393878726
"ENSMUSG00000000168",9.00476246489129,9.29791857302995,9.37257909160494,8.87751895733064,9.22751050442534,9.2498393280013,9.01223354456979,8.70022911753761,9.20564620458607,8.96915993340584
"ENSMUSG00000000171",11.5010602416536,11.5799942721332,11.7269438937664,12.9591387604029,11.9706725058961,11.3229750643539,12.3250311262283,11.9037178727583,12.3910085595983,11.4894075781589
"ENSMUSG00000000184",11.2348497089785,11.4720531515014,11.4169094989869,10.7247027930967,11.0627806399129,11.5847795996295,10.8926328358848,11.0095555277426,10.7635733443862,11.1223657467108
"ENSMUSG00000000194",9.88137835037493,10.2780050604788,10.207678801943,10.491449574436,10.340030150439,10.1864055933664,9.828421147263,10.6306185406486,9.92407126644843,10.3391865033609
"ENSMUSG00000000197",5.46237909568977,5.70275772605291,5.34501868023236,5.01934835106457,5.03991419992986,5.45862231303533,5.02535480825064,4.47218241783699,4.98356515756576,5.18544382389534
"ENSMUSG00000000202",4.47218241783699,4.47218241783699,4.78910279399154,4.47218241783699,4.47218241783699,4.74929312624756,4.47218241783699,4.78335409438138,4.47218241783699,4.47218241783699
"ENSMUSG00000000204",5.3348422214107,5.28464139527189,6.24476132180852,7.02561546065488,6.10757734302619,5.48309246960986,5.9030377162346,6.31448788686876,6.04730743658532,5.53812977569089
"ENSMUSG00000000214",5.36837719922155,5.10563808312417,5.05883770368312,5.02627914636325,5.03091936408906,5.57727812016338,5.34410277525095,5.0653126905549,4.94714947331745,5.00592972702651
"ENSMUSG00000000216",4.74010559457541,4.47218241783699,4.78401351283445,4.47218241783699,4.79742572451401,4.75827824338977,4.47218241783699,4.77829505054558,4.47218241783699,4.76624427888322
"ENSMUSG00000000223",4.96301034099074,5.23056324633728,5.13087685095191,4.83804855360821,5.18519931071348,5.27438654931132,4.99171662574754,5.09277955148367,5.08089053076174,5.10198537057667
"ENSMUSG00000000244",6.53517315716912,5.39214737299204,5.96986838976569,6.81849608307253,5.61542855098258,5.50889330760092,6.28493761904738,5.36339989244813,7.24729063471558,5.33538394441106
"ENSMUSG00000000247",5.15267695387652,4.47218241783699,4.6329656506596,4.47218241783699,4.47218241783699,4.47218241783699,4.72238636774236,4.47218241783699,4.8818393475395,4.47218241783699
"ENSMUSG00000000248",4.71910542544316,5.12090662542189,4.96191728664766,5.27047747574998,4.47218241783699,4.8451223152587,5.04780809895988,4.47218241783699,4.93502514735218,4.7396226346604
"ENSMUSG00000000253",6.4649932151539,7.22588630510366,6.09572496237868,6.24463819106111,5.97569169092542,6.14422281642671,5.77966877166425,5.95632498179639,6.46796903827213,6.15761372917826
"ENSMUSG00000000266",8.7845813108166,8.78069985576058,8.85154739351476,8.48779667869139,8.54807923721206,9.32315420302077,8.35877040649346,8.69679407785206,8.32980176901552,9.12162752403505
"ENSMUSG00000000275",10.3993351222311,10.8383320288784,10.874931862138,10.844101650793,10.667780224649,10.7154111371891,10.3340652486497,10.8534676476756,10.127836488187,11.0969240423212
"ENSMUSG00000000276",7.13548794311509,7.2966076036047,6.53764698469155,6.39144818639104,6.47918737496258,6.22497991239187,6.50359210454422,6.51877278961146,6.47822498151116,6.73324937152808
"ENSMUSG00000000278",9.62203186491391,10.1959505982977,9.91903122625032,9.5644787253452,9.75771446018449,9.88785621403583,9.87793020698577,9.92957917408931,9.54049501569101,10.1088111369455
"ENSMUSG00000000282",8.01571052124195,9.05585244420405,8.25780073660601,7.24617421835771,7.93149152924896,8.45189019292457,7.31402628228013,8.75231889570299,7.80431679556644,8.97471844009314
"ENSMUSG00000000290",8.70607877376095,7.68602853411855,8.20252873648343,8.17691711332744,7.58769136422512,7.92724000227765,8.27246787478711,7.26828796271468,8.57469734198387,7.47294157547235
"ENSMUSG00000000295",6.93389130616855,6.98944643036462,6.74183802961126,7.32667070476016,6.99842439268717,6.60747603345263,6.8772190021709,6.74747280975257,6.77857668624998,6.71502454715035
"ENSMUSG00000000301",5.94940458830862,5.61312924423366,6.1690683863043,5.76365232564582,6.21615371134841,5.96356738185052,5.56964978385526,5.27341283394254,6.42515634496552,5.61828350572259
"ENSMUSG00000000303",12.8634932126766,13.2413437665787,13.0480964016659,12.5443548245326,12.9798029749981,13.1651187126592,12.6563920294305,13.1849970141344,12.3059856280858,13.4537815074244
"ENSMUSG00000000305",5.0023971864267,5.05252126134438,4.78362911190959,4.47218241783699,5.11923072912992,5.10176085467903,4.79199267776038,4.90797757104374,5.12811867062252,5.05738505967282
"ENSMUSG00000000308",12.652332007056,13.2410662444405,13.3388385315181,13.6932772883544,13.5272250034604,12.7134696864707,13.3914274506878,13.4695370202001,13.1578170150514,13.0188016884598
"ENSMUSG00000000317",5.6586100455854,5.98989569555724,5.48916184808421,5.02406935499929,5.03956036696587,5.39852233478754,5.60780547284996,5.33482049510205,5.25304530100944,5.90491767200437
"ENSMUSG00000000318",5.55276005581571,5.39934189228301,5.56842999690744,6.06296646469991,5.19862144917757,5.42858676724384,5.21140949565062,5.3055792526283,5.60485637980762,5.21069267719915
"ENSMUSG00000000320",5.46774606263278,5.68322315476851,4.97668610663606,4.96291215173894,4.97008452253483,5.12180676661787,5.16036705027647,4.80477381545208,5.02612558817008,5.08391024010767
"ENSMUSG00000000325",6.22099128884826,7.44149820144801,7.05077938950898,6.4524748567782,6.1309185248855,7.41777678372716,6.14110705864093,7.17699117801493,6.96422407636949,7.14206128328564
