"","NI_V_1","NI_V_2","NI_V_3","NI_V_4","NI_V_5","I_V_1","I_V_2","I_V_3","I_V_4","I_V_5"
"ENSMUSG00000000001",11.5256851135824,11.8223722017829,11.7694110399864,11.9323554074232,11.7978380084668,11.437460412596,11.5214292971027,11.6335846102297,11.2807020426288,11.4584410136636
"ENSMUSG00000000028",7.05312361209643,6.42745872223098,7.06326059187359,6.89080554002507,7.21018855981481,6.94741183054554,6.58932144618329,7.02409987102704,6.99901259909201,7.01628427014141
"ENSMUSG00000000037",4.82527316491648,5.21585425594833,4.88500051424917,4.53892058916856,4.56224934328206,4.56036735334728,4.33222361283294,4.56888507055946,4.47949699168362,4.76062301801927
"ENSMUSG00000000049",4.85888585993901,4.97706602160925,5.32754946607595,4.90504340582112,4.92411474822404,4.95825366249992,4.31437203441658,5.44537045552526,4.90128359895682,5.62282264071378
"ENSMUSG00000000056",8.94740053084246,9.07377482880151,9.53395160608467,9.75121009354132,9.69940431927473,9.42908036979857,9.161485327634,9.68233994875147,9.04234520794634,8.95837826146189
"ENSMUSG00000000058",7.47145568578272,7.56290045249139,6.99364433300851,7.56066678969321,6.6465721807465,6.56478336453936,6.89168708728528,6.44273932316495,6.32173124699731,7.1100187197672
"ENSMUSG00000000078",11.2991730994545,11.9223948999698,11.554449444638,12.1279651127027,11.9228914371772,11.2077220096065,12.0229957171547,11.9627298635001,11.7519202754458,11.5644223939212
"ENSMUSG00000000085",7.45465081249715,6.61869651473841,6.90450342616972,6.71323810617883,7.31176612640418,7.8507075560187,7.47090312663034,7.29329926107494,7.57918587062227,7.56439714962476
"ENSMUSG00000000088",11.4690096221049,11.7395955378998,11.7388840789894,12.4842865125105,11.8632479168836,11.0922182053682,11.834362908871,12.0847074256443,12.0351460194484,11.2852664857335
"ENSMUSG00000000093",6.41880437889236,7.06904957302001,5.8292075738327,5.41495733377173,5.55015038450242,6.52127596576899,6.12061379377131,5.85203578275972,6.0254161294259,6.24893324820852
"ENSMUSG00000000094",4.12784645183079,4.37396035187025,4.45552018411593,4.19834192611961,3.8035065436574,5.71476169399384,4.91485165781858,5.25117258367126,4.87454163334633,4.91914314219143
"ENSMUSG00000000120",6.62790403203912,7.11025256225345,5.76504247348036,5.08280472082651,5.36249546596625,5.68578154917484,5.59266871183304,5.50523777358374,5.47432746947592,6.32075537894772
"ENSMUSG00000000125",6.74932401114125,6.24815505357968,6.79866530451832,6.60475183257897,6.6661370221454,6.12301035353534,5.25100614027243,6.19661207038894,6.37508338405368,7.00789764342564
"ENSMUSG00000000126",5.15632177169833,5.71594163937695,5.07608668792263,4.76091350204469,5.37423787145404,4.92239980747566,5.26391189691969,5.21193764918652,5.18797410518564,5.28636936756166
"ENSMUSG00000000127",6.97322805276272,7.41411528178686,7.20912169931469,7.15801451509736,7.0841978720957,6.94397173531016,7.17843200924822,7.33811835415961,7.06869254159667,6.93067400334398
