"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","NI_V_1","NI_V_2","NI_V_3","NI_V_4","NI_V_5","I_V_1","I_V_2","I_V_3","I_V_4","I_V_5"
"ENSMUSG00000000094",7.5990841349095,2.05065180866913,0.544465375585349,3.5831713158583,0.000339447819593716,0.00528128332262571,-0.928542772865143,-0.501802284668682,-0.360384499553082,-0.806309639714876,-1.49092047982649,1.82303275805157,0.436057055761103,1.01920882437737,0.36616291520365,0.443498123234585
"ENSMUSG00000000142",649.130660397953,-0.660121184336474,0.213812595975151,-3.11752471027468,0.00182376657389819,0.0203380284899463,1.33160202825217,0.997688261399071,0.276011666405763,-0.456093832600341,0.44203781592072,0.682802785747818,-1.09471723581097,-1.80408305205347,-0.804919080281852,0.429670643021089
"ENSMUSG00000000290",496.829801978817,1.6815742634284,0.300837543966224,5.4725780666114,4.43535266736258e-08,2.19761489238584e-06,-0.198978431723973,-1.28610340444846,-0.724644518993692,-0.73026679670006,-1.37400191471574,1.36829552178054,1.18718437832217,0.444276949055283,0.563757860663065,0.750480356760856
"ENSMUSG00000000374",1057.55976042345,-0.656602987106999,0.173642470269967,-3.7647624763438,0.000166707473091819,0.00289276986982495,0.853493457983603,0.998091024058061,0.874599352796044,-0.153451645302061,1.54893846739478,-0.450499077427955,-1.01309360680905,-0.990630499986218,-1.32709682753252,-0.340350645174707
"ENSMUSG00000000420",2252.13631746516,-0.544335845244054,0.176138131195589,-3.0873659216788,0.00201938846579767,0.0218683338700335,0.312275424481074,-0.20508487081795,1.36641989286024,0.912188938429476,1.34017221105813,-0.347629440866867,-1.52483766410098,-0.432973647319088,-1.31142033885938,-0.109110504864651
"ENSMUSG00000000538",978.063236737187,-0.735181206257746,0.252957112865833,-2.85115267304778,0.00435610480387574,0.0401294940828438,0.409414123788756,1.98570684419767,0.738686031113422,-0.90892475894185,1.02738541647589,-0.899142768498727,-0.643719986398369,-0.986683285849633,-0.31400034162767,-0.408721274259497
"ENSMUSG00000000555",218.029651548172,1.11859182599872,0.325338865502617,3.48939501442772,0.000484115180064415,0.00703836342155264,-0.333191006376415,0.638839435642156,-0.77472997185278,-1.60392688159342,-1.44086334881532,1.31498707640338,0.93682972748767,0.170456866807308,0.533489163455886,0.558108938841536
"ENSMUSG00000000594",826.757251277902,1.35779278177343,0.22496056320597,5.935717981884,2.92562326332473e-09,1.96297130872159e-07,-0.518930590366217,-0.707562718231641,-1.03472055897452,-0.652877363860844,-1.51849916307825,1.21087460643922,1.24786144843763,0.492231002111727,0.561842226016789,0.919781111506117
"ENSMUSG00000000628",682.840169014998,0.879352274660128,0.281473203056214,3.2334628357679,0.00122299247335018,0.014751945916373,0.0855348331294787,-0.239270801585013,0.104760762773094,-0.969358409427646,-1.95624919719365,1.42361971458363,0.68866152475515,0.322968892231423,1.10847360307156,-0.569140922338016
"ENSMUSG00000000682",686.910177657125,1.6501402731762,0.382787717902867,4.30405968194502,1.6769645610281e-05,0.000422600318094452,-0.0979066611920895,-1.75719675938955,-0.768809950536131,0.00930284951108857,-1.2552250943064,0.792859221258944,1.36571273815978,0.660155552446679,0.881862913494767,0.169245190552916
"ENSMUSG00000000794",31.6974633350932,-1.52199557007121,0.406897849234058,-4.05148389688854,5.08938293630965e-05,0.00106989991414353,1.18985974408848,1.51117956383636,0.717136157396136,-0.522852498618881,-0.320946962937412,-0.410375871819788,-0.997206617115237,-1.10849768091092,-1.03329144618318,0.974995612264437
"ENSMUSG00000000957",460.556630064155,1.71774385353484,0.274694980203972,6.1904685889962,5.99856209538198e-10,4.71194367911883e-08,-0.407435662760102,-0.213402279593128,-1.0453105277201,-1.41683369068091,-1.1646757774566,1.36744522133598,1.19316470281561,0.340085464204134,0.58535195219134,0.76161059766377
"ENSMUSG00000000958",428.035534560794,-1.03457549255232,0.268892706770678,-3.78591273503137,0.00015314541495564,0.00271298197693142,-0.281687103465916,0.193979074140887,0.98149443801269,2.08326322247609,0.666367604356292,-1.21534255353013,-0.906660343886093,-0.453695098866564,-0.708100534989521,-0.359618704247727
"ENSMUSG00000000983",6.14076897084579,2.19483324431423,0.547135670742561,3.77963933020957,0.000157055690079659,0.0027652637592316,-0.524805301566323,-1.34355592474323,-0.392959233611042,-0.641405610458085,-1.34355592474323,0.663901188013496,1.52334337393177,0.857972991972609,1.00657461983574,0.194489821368281
"ENSMUSG00000001020",77.5550935698374,2.16621503234799,0.41096958417859,5.21202098831991,1.86794409521977e-07,7.97864821361379e-06,-0.538311076343708,-0.72513618681868,-1.32977830220345,-0.355825259528305,-1.18865665281413,0.545177473812291,1.84614522005288,0.726460860037935,0.758189348812661,0.261734574992504
"ENSMUSG00000001053",62.0075982820167,0.809443632732791,0.269383554600058,2.97966119881983,0.00288567353487812,0.0290571712481771,-0.274973380929743,-1.20620802690078,-0.949042923264367,-0.154233101073806,-1.51267073327479,0.742621248701733,1.5542118081175,0.967847236894381,0.473386430544486,0.359061441185401
"ENSMUSG00000001089",1644.90094457565,-0.813209739738334,0.288603925472564,-2.8017776185216,0.0050821892872009,0.0453394097851893,0.960017238061459,1.38764161304259,1.03523216637392,-1.12941873759141,0.6020317798147,-0.17894443001937,-0.233424984008754,-1.64111499940636,-0.814348993417806,0.012329347151037
