X1,NI_V_1,NI_V_2,NI_V_4,NI_V_6,NI_V_7,I_V_1,I_V_2,I_V_3,I_V_4,I_V_5,I_V_6
ENSMUSG00000000001,3433.97784466138,4123.59879560223,2833.6154487486,3449.18901150368,4739.29688094417,5202.13501960382,4278.98350915966,8326.3753249945,4923.98002136931,4867.22629357141,3662.64955779891
ENSMUSG00000000003,0,0,0,11292.6073242419,0.69868326374063,0,2.99463699115049,0,229.534172156968,0,0
ENSMUSG00000000028,77.7538588441289,264.818578696276,123.210905780151,129.139737433536,321.509040505381,224.465996412349,217.434462973646,206.435097285812,344.939321293319,384.082908559082,369.76870934059
ENSMUSG00000000037,5.84105626333923,38.2460260889556,52.5953679819328,15.8709262754235,28.778308211936,5.6278323577577,21.4044491168987,2.44948480163334,1.68606249920523,3.82719108046476,0.918811719628431
ENSMUSG00000000049,0,5.88794584479882,4.66622323054672,0.681990926126889,1.44191238302824,0,2.01324994201269,10.787796865959,2.86073552482777,1.81145286277588,4.73885926479763
ENSMUSG00000000056,1291.54077257282,1047.6860811749,270.765488799007,1156.34028454328,1250.03801065101,805.860000053182,743.796508870101,1695.12172394519,926.390816120584,1008.82362245806,759.246266036339
ENSMUSG00000000058,280.155734407773,315.070618722643,178.898696423355,305.241575682697,350.247732447809,364.952820360156,307.884813961712,139.920408320604,429.904582307121,256.272586596117,219.919883328562
ENSMUSG00000000078,4051.01298777865,3500.93525127264,3610.87088983134,4500.45391923179,3862.77503102384,4600.15991914662,4331.804259479,8600.18569317563,4702.33350854552,5220.58913039576,5294.80611321212
ENSMUSG00000000085,587.725108258048,521.143646456951,632.836825311708,506.509365042439,579.903615423604,541.966142883664,669.258806688798,117.381008352136,518.03551280562294,623.085024382833,628.528506980175
ENSMUSG00000000088,7300.49686672718,7258.28232253824,13534.9475759924,5766.43792627173,6371.24667028313,5793.28681787522,5825.40296616536,5349.60931673532,6520.34699892289,7829.78767325672,14005.1000149895
ENSMUSG00000000093,58.6411440245729,75.5275864437354,69.8178900107504,54.2282478454267,54.9443261278371,52.1185325578067,59.9207823109552,83.1933254054856,55.7677507330235,47.9188855550283,43.3454942627817
ENSMUSG00000000094,9.79716822525524,7.29303514564445,3.44505799912219,3.09791739219767,4.10912976794188,11.4462093980812,7.62997004083521,8.77831200697342,7.37839203112492,3.37049011642185,2.73338074480872
ENSMUSG00000000120,69.7393395302139,89.9044062667641,233.09809837027,93.1358298637047,60.0459788289464,45.5821560967333,47.4183298974359,77.4701893876237,57.8301293114343,40.5065735632039,31.1908991785821
ENSMUSG00000000125,2.13448197913989,0.893399548704681,3.42467447045813,1.55169981252563,0,0,1.52135356546419,67.7161556575007,0,1.36479991764583,0.931132256829641
ENSMUSG00000000126,15.2367023635474,9.88947204842473,23.1126604428471,12.4749354191765,11.4573127932186,14.1485108262414,15.1574711057225,30.6584792994981,12.2047354756474,9.42178828149737,13.8591189523624
