"","NI_V_1","NI_V_2","NI_V_4","NI_V_6","NI_V_7","NI_MKI_1","NI_MKI_2","NI_MKI_3","NI_MKI_4","NI_MKI_5","NI_MKI_6"
"ENSMUSG00000000001",3458.5963106218,4157.25115515775,2772.33842062791,3509.56709842018,4822.13668376847,3246.61922240787,3219.33916129786,4007.84006375325,3323.1508144452,5861.43653404413,3730.93158680159
"ENSMUSG00000000003",0,0,0,11115.0949569119,0.687683075613238,0,0,0,0,0,1.1384654843352
"ENSMUSG00000000028",78.1877109474053,266.558460084683,120.356249042095,131.192986070488,326.612613479546,66.3750231354349,119.252507913503,169.015426667475,168.576052324429,273.073736260713,111.636099655808
"ENSMUSG00000000037",7.31209909348948,47.9252590727263,63.9589203126247,20.0718371217921,36.3947847177227,37.5446377309432,27.9091479354261,15.4635901744088,16.1485941293983,19.3097914343273,29.0453015126857
"ENSMUSG00000000049",0,5.96969587154671,4.59123354167464,0.697868656996974,1.47544496275416,1.46691607393239,4.63138677973812,10.5799048724489,5.70823220692476,2.06581262240015,0.80659895451863
"ENSMUSG00000000056",1258.30263160949,1021.72879167656,256.255526491325,1138.14294560509,1230.33511535142,907.643274901639,1170.25821330724,892.125841418161,1268.72131902334,1244.1941063257,1583.47748621236
"ENSMUSG00000000058",312.356278358738,351.630147398398,193.758536936458,343.817977483198,394.502057113766,523.890702316719,338.727711667168,306.510225186009,312.636335766825,291.444116176634,377.600824790986
"ENSMUSG00000000078",4072.73460724029,3523.17347507164,3526.44717434995,4571.01836093539,3923.24208604603,3705.57200299952,5747.52472102743,5710.2364826405,4565.69986873825,3748.8209280632,4390.6413147643
"ENSMUSG00000000085",564.158880079106,500.739792238356,590.09491757253,491.189228689715,562.349374912236,540.051033379668,463.535327188637,589.851887596448,384.211807854082,579.162681016363,575.292768129878
"ENSMUSG00000000088",7264.1289200311,7229.23686569782,13082.4971673836,5796.59445152592,6404.40459494268,6536.28201157057,7638.20920021993,9096.97564217324,10918.1648236687,6112.2547433342,6861.6801281997
"ENSMUSG00000000093",56.1423845789376,72.3804869653968,64.9318964353211,52.4503226236629,53.1415831347119,56.2580916160337,46.8640416313927,80.8067957161339,62.9203258771165,56.911315570412,38.9224965781232
"ENSMUSG00000000094",9.52204029733809,7.09520960460893,3.25258709617882,3.04181959867202,4.03461894022097,5.21092366502166,5.44536572692842,7.20109220303754,1.9216628067445,2.30584047670369,1.78335392957716
"ENSMUSG00000000120",67.2943104716967,86.8378311963556,218.495348128554,90.7928141023103,58.5339271546213,120.152686683958,69.9679767087744,123.24857191326,111.034327545587,61.3542666444883,75.5311923753981
"ENSMUSG00000000125",2.09367076638192,0.877180763094976,3.26315828098052,1.53765100120615,0,1.73538921398661,0.903346140084899,3.07203232395306,0,4.60438901359702,5.40660203145865
"ENSMUSG00000000126",14.817438392174,9.62681723935356,21.8340867855859,12.2561656841356,11.2561049177032,22.5130443405415,16.3916062449017,11.1831207235516,15.7312504052711,6.84965866303442,8.03038649000023
"ENSMUSG00000000127",299.323354295494,315.170923465913,274.967427038087,297.427330582338,331.618253828402,195.175798403791,197.40952249538,303.180212176723,287.051878459786,256.326545673548,298.202329934157
"ENSMUSG00000000131",1011.46693240332,1056.53916021001,497.676337532841,1035.03051689268,1131.16262166295,1024.03902215848,807.954343335856,1019.49852161079,613.150677077232,1274.32251105663,941.666067446633
"ENSMUSG00000000134",688.006696850609,547.498361489116,274.837238454367,446.283158876812,551.039870046677,528.860550554529,441.080727333464,356.054527553979,427.500682074073,693.723310206002,534.109123077388
