"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","I_V_1","I_V_2","I_V_3","I_V_4","I_V_5","I_V_6","I_MKI_1","I_MKI_2","I_MKI_3","I_MKI_4","I_MKI_5","I_MKI_6"
"ENSMUSG00000002342",311.484104713836,0.970707609845833,0.292267040187016,4.25261393410578,2.1128965661892e-05,0.0116339335544479,-2.68070849381056,0.457215476828611,0.242630227856198,-0.136883408967968,0.281135305426961,0.464902564787678,-0.42211308033873,-0.444111950728507,-0.39559670302242,0.379382210604909,1.03891421069351,1.21523364067033
"ENSMUSG00000002778",426.28209815074,0.510550451442631,0.302490059683997,4.3010754234016,1.6997118997609e-05,0.00960516140406989,-3.05136101120041,0.300615570029768,0.25277662813763,0.207632407166262,-0.27302967093802,0.248949645886818,0.801807174589968,0.00748156772834049,0.0478792612365581,0.515822603757327,0.450212926624349,0.491212896981408
"ENSMUSG00000004610",25.7361739444486,1.27550663061243,0.308322785107276,3.76415946964987,0.000167110220350286,0.069010093688501,-1.58148446024868,-1.06397058804721,-0.727090121230813,-0.125996314493017,-0.894612502508965,0.177070791683362,0.821722485720012,1.80848156881116,0.392520831111423,-0.12901142307347,-0.0458412813150759,1.36821101359127
"ENSMUSG00000013921",71.1599184623519,-0.978138111953745,0.269720620401739,-3.69890477739504,0.00021653181248452,0.0861074840980107,2.16309816742089,-0.208378156353135,-0.572784680910756,-0.296171611284836,0.594226357090958,0.138667727896992,-1.0484054060245,-0.839015042326322,-0.0166885168075779,0.988261738962048,0.621412931633466,-1.52422350929724
"ENSMUSG00000016664",176.202038794247,-1.21354476186039,0.279240235791854,-4.17698065615802,2.95404136396673e-05,0.0151035914880528,2.12024948031196,0.311472214264297,0.908499590301173,0.429933523336404,-0.0151166136593488,-0.772651295306141,-1.08931621137537,-1.23931093694765,-0.260609835380841,0.38375836606461,0.494895084905203,-1.27180336651431
"ENSMUSG00000024078",116.470459973321,-0.359490426070099,0.292526314265018,-3.85096620820867,0.000117652733531254,0.0505294959970031,0.733823305132612,0.182710295178923,0.854502919933858,0.619356439523415,0.19523367643024,-0.557131782588453,0.0764512889334812,-0.99396576481766,0.416344461721988,0.33686387751945,0.792376305765588,-2.65656502273344
"ENSMUSG00000024830",216.90092438858,0.898649811177373,0.230633081399354,3.91106332948113,9.18906717724321e-05,0.0411095892841918,-2.06670031730929,-0.215785996889508,0.537087750368142,0.48888690445443,-0.37979545097743,0.706318659897932,0.691826787618179,0.518739848803013,-0.498732575364027,-0.827265091766596,-0.758756980941533,1.80417646210668
"ENSMUSG00000024899",869.817158419195,-1.2220367981414,0.292570514617914,-3.72994290260206,0.000191523167045077,0.0775994054552072,2.09032357482797,0.783243922775368,1.36769049643304,0.0382843486651575,-0.219817761918888,-0.321875742956332,-0.929923326253492,-0.890421466003181,-1.28596957501152,0.387582578887694,-0.587865353388908,-0.431251696056901
"ENSMUSG00000026442",162.53091606811,-1.5241932671712,0.303998378043791,-3.66947879653833,0.000243045494888706,0.0948937992225467,3.00684030506526,0.158038488935003,-0.0106410329276926,-0.539221274160251,-0.420094679763279,-0.617976301850136,-0.562778190868154,-0.65144629167672,0.179859654112108,0.150181235995432,-0.190298996689714,-0.502462916171854
"ENSMUSG00000029370",318.260893083741,0.66758326021171,0.307621130718474,4.34669375923876,1.38204966980356e-05,0.00802111746198962,-2.98801682242724,0.306834991966894,-0.420824746458767,0.134279277821229,0.395761838849627,0.453694587725919,0.578489171619401,0.571125433645159,-0.246008731576741,0.0980409800328312,0.377168087624085,0.739455931177603
"ENSMUSG00000032086",168.500678865212,-1.15912382140293,0.293100451071328,-3.80007028668928,0.000144655053364736,0.0609082865873399,2.33668535714291,-0.00305432876630514,0.331800708984579,0.283156412406094,1.00178292325016,-1.23976388279107,-0.552620181241416,-0.988604932215704,0.182369815758629,-0.238446484506135,0.0822802814721839,-1.19558568949393
