"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","NI_V_1","NI_V_2","NI_V_4","NI_V_6","NI_V_7","I_V_1","I_V_2","I_V_3","I_V_4","I_V_5","I_V_6"
"ENSMUSG00000000290",967.811952909325,2.44803545030275,0.487715371846229,4.14551948443575,3.39044167130407e-05,0.00549214698124398,-1.33640542947563,-0.908445064795039,-0.900214701297497,-1.33559505728049,-0.138695452536308,0.925722311164754,0.586715124107604,-0.0618730938474187,1.4053969297895,0.739630703053036,1.02376373111748
"ENSMUSG00000000409",391.608187068682,2.23016374158608,0.469531883764837,3.88613308572271,0.000101853682196142,0.010938224656025,-1.30307279460706,-1.09070798507627,-1.13849073238222,-1.00388420062091,0.103266597663742,0.811839102118595,0.684165345289979,-0.173617465173467,1.35608688437712,0.514935133163454,1.23948011524704
"ENSMUSG00000000486",216.047103038382,2.37882451045209,0.477513341246581,4.30830415592466,1.64511053377539e-05,0.00377185881305456,-1.3661583951784,-0.625656100956512,-0.880562501162389,-1.47409495063403,-0.34550655415753,1.0400736117383,0.587201865410841,0.182963553061408,1.22332832954409,0.415252741115132,1.24315840121909
"ENSMUSG00000000594",1120.52708021814,1.01078715336419,0.297278508845711,3.39086360687888,0.000696727654404477,0.0390350835849245,0.0115834880687084,-0.539464526069227,-0.404767451428709,-1.44181132166956,-0.70842755168422,1.15385143263414,0.226201438897252,-1.07370927075841,1.69080515395367,-0.157376947689458,1.2431155557458
"ENSMUSG00000000682",718.155681225785,2.30249445512144,0.497095029279482,4.10934006356777,3.96791409095169e-05,0.0060758718454555,-1.28308889395467,-0.86446351248628,-0.565235278744469,-1.28934895947584,-0.257920084153816,0.851500168797666,0.271294107105922,-0.33843812886741,1.22920430536086,0.570780078064571,1.67571619835347
"ENSMUSG00000000791",57.0142236175844,3.30984061521447,0.547400315601538,4.8726360463897,1.10118974878864e-06,0.000889200403395864,-1.02176264900038,-1.02176264900038,-1.02176264900038,-0.595393780550639,-0.199456682272635,-1.02176264900038,0.716846227121207,0.456123291214947,1.40419174214442,0.952190671303353,1.35254912704085
"ENSMUSG00000001020",350.298716380042,1.79682291240933,0.493733342758789,3.58965422607814,0.000331116882593328,0.0242606094649276,-0.962855680753967,-0.792608837070105,0.0209898192735296,-1.02382961196889,-0.472915197627797,0.704188816599149,0.271921297325597,-1.17947090273704,1.17109003022081,0.332294355030116,1.9311959117086
"ENSMUSG00000001128",385.224577486705,2.3483323601501,0.483828657808826,4.46227334639688,8.10946861630077e-06,0.00253727426815042,-0.422352598329422,-0.899824897505091,-0.664427608110718,-1.33741754066773,-0.602502662903971,1.35351318503964,0.193258010201029,-0.729210111966349,1.0314828045387,0.407963821975194,1.66951759772872
"ENSMUSG00000001151",71.2972793024604,-1.06596620523597,0.577534439554089,-3.47734198372503,0.000506411450256703,0.0315776144065926,1.21968540495408,1.22275964567395,0.466787879361969,0.0700624970690771,1.16484632860712,-0.98367727940546,-0.98367727940546,-0.98367727940546,-0.98367727940546,0.774244641361098,-0.98367727940546
"ENSMUSG00000002020",49.0525045302794,2.40827522027037,0.484359353941892,3.94565330887989,7.95826929232092e-05,0.00933874702861879,-0.923519970510532,-1.00925181948017,-1.35483497408252,-0.907509090107674,-0.580719651862826,1.13334755702652,0.0867078890692154,0.229757251369346,1.16218360017879,0.863308486883295,1.30053072151656
