"","I_V_1","I_V_2","I_V_3","I_V_4","I_V_5","I_V_6","I_MKI_1","I_MKI_2","I_MKI_3","I_MKI_4","I_MKI_5","I_MKI_6"
"ENSMUSG00000000001",4261.60537910592,3564.37774545698,6975.80501971785,4035.6486512734,4026.80667498306,3005.80071112284,3370.62135036592,3112.61639588309,3593.15389558317,4415.94735975384,4114.37088333783,3213.53587611798
"ENSMUSG00000000003",0,2.1774978060326,0,164.215765112891,0,0,0,0,0,0,0,0.716221862457665
"ENSMUSG00000000028",185.764639462751,182.97525761754,174.720056877018,285.601607700804,321.014832602818,306.56025552195,232.861401324629,149.212882895008,163.186137003605,338.505388583314,179.015035329435,290.366106682761
"ENSMUSG00000000037",4.27774305787187,16.5435647913931,1.9041231352507,1.28219083108256,2.93792914917388,0.699637811444511,2.39049938751852,0.401985354269875,14.8095432286479,34.9774222853586,1.86284074299945,3.47107060708642
"ENSMUSG00000000049",0,1.68027518386378,9.05546418160987,2.34916966046955,1.50157104830303,3.89653188161931,2.29853490504213,3.55348733133359,5.86820883080104,3.27465466514927,0,9.38960234887846
"ENSMUSG00000000056",678.663860070872,636.943276662709,1459.96602940437,780.53938024681,858.021155126488,640.546985474876,579.070419287469,249.617574898983,893.094637362815,546.727951980259,925.242410853342,870.401437252572
"ENSMUSG00000000058",298.376710541027,255.957561861588,116.991955182751,351.646036404146,211.60112833285,180.12164204099,194.231809354053,125.16087124723,268.044438820963,259.490036524157,375.195837557738,233.026083244193
"ENSMUSG00000000078",3769.74015648779,3609.59776355247,7207.63942815253,3855.29281409766,4320.61560959134,4346.72085957266,4068.84799934483,3188.58743813215,3317.73694762627,3166.94158509991,3242.73458444599,3525.15803564954
"ENSMUSG00000000085",405.406876555506,509.054812789257,89.7973515559022,387.689413536798,470.710511791911,470.995912117476,546.656819290839,577.313882321996,583.985357707361,441.595121833759,503.531267860024,525.995453309173
"ENSMUSG00000000088",4720.05151147932,4826.13181145148,4457.49138083764,5314.93394380686,6442.57261646985,11430.9184386462,7619.82357992258,10244.6116427318,5347.67815511088,4966.75493930213,4303.26626367183,9781.2857834903
"ENSMUSG00000000093",42.4485516099157,49.6249029502558,69.2956413889554,45.4421928410263,39.4153180626703,35.3661561398086,60.59630105017,81.3741674769908,65.7695810530269,39.187323363072,69.3630346723533,46.7184520383043
"ENSMUSG00000000094",9.36393491144583,6.3470370139372,7.3443683456158,6.03898402843163,2.78469340893685,2.24011355414527,1.37073837337468,7.76789904383166,9.01661282524733,5.72482615898295,15.4937960924314,3.27982902118176
