"","NI_V_1","NI_V_2","NI_V_4","NI_V_6","NI_V_7","I_V_1","I_V_2","I_V_3","I_V_4","I_V_5","I_V_6"
"ENSMUSG00000000001",11.7548158044124,12.0173147316826,11.4795067373993,11.7611520966224,12.2170964228245,12.3509383954412,12.0704029883425,13.0272574044335,12.2720001060226,12.2553493205193,11.847253966331
"ENSMUSG00000000003",3.45187409437582,3.45187409437582,3.45187409437582,13.4658828901775,3.81546011919626,3.45187409437582,4.19824609831533,3.45187409437582,7.97121054287979,3.45187409437582,3.45187409437582
"ENSMUSG00000000028",6.62091377970974,8.16131020361314,7.17258725600116,7.23100745448154,8.42225423120694,7.94171692360545,7.8997685938951,7.83158915298355,8.51766019618628,8.66417277167495,8.61230751975383
"ENSMUSG00000000037",4.48378625132955,5.85969809069972,6.18658932565427,5.09849897164412,5.59030319915297,4.46552785397294,5.33341558444964,4.12824206844228,4.01460774309076,4.29311511559393,3.86847586105783
"ENSMUSG00000000049",3.45187409437582,4.48775125869799,4.37799357340457,3.81111319364873,3.97274363291409,3.45187409437582,4.06604611883453,4.83119573374566,4.18172347102248,4.03488689831056,4.38493446799635
"ENSMUSG00000000056",10.3590188662995,10.0626656940262,8.19101388088385,10.202275316162,10.3126889025569,9.69279048495839,9.58030596484707,10.7456214205356,9.88897087243603,10.0092582731638,9.60913810141775
"ENSMUSG00000000058",8.23670228498698,8.39489112191433,7.64519447531419,8.35208840699777,8.53842465197133,8.59442946930763,8.36372464256608,7.33147260901776,8.81866029838037,8.11752104133288,7.91473631106095
"ENSMUSG00000000078",11.9918295705294,11.7825012517515,11.8268356406163,12.1428449719935,11.9235612031798,12.1743074962128,12.0880136292294,13.0738163614566,12.2058522562182,12.3560258514432,12.3763068400911
"ENSMUSG00000000085",9.25127807777369,9.08429846496841,9.35433522227557,9.04485230355549,9.23263589491376,9.13862701180285,9.43248045539253,7.11270954918112,9.07601041575389,9.33267297433572,9.34480500756756
"ENSMUSG00000000088",12.838094086649,12.8297526449501,13.7267315914347,12.4989245534147,12.6423028777994,12.5056010087366,12.5135468883785,12.3911018051622,12.6755631814794,12.938781522465,13.7759164540678
"ENSMUSG00000000093",6.30397654325642,6.58747801823199,6.49790097400762,6.21928863395965,6.23338787964843,6.17689238096362,6.32759702344275,6.69941597552859,6.24942501595204,6.08840067906851,5.98504810328376
"ENSMUSG00000000094",4.77058866592137,4.59919565414594,4.25110917889415,4.2107235283489,4.3226730498336,4.86965487420826,4.62405955844683,4.70434487561911,4.60555567840967,4.24262463361001,4.16562337376278
"ENSMUSG00000000120",6.4966278488091,6.79061418089112,7.99159377956253,6.83251371820723,6.32988657308376,6.03657194561541,6.07746242416085,6.61669734325639,6.28879552050312,5.91670373663138,5.66433877451287
"ENSMUSG00000000125",4.08398553685715,3.86271351245765,4.24879974462262,3.9919891095985,3.45187409437582,3.45187409437582,3.98674183268865,6.4634313214971,3.45187409437582,3.95876980638304,3.87124033478888
"ENSMUSG00000000126",5.0683750280362,4.77638546179586,5.39771520809227,4.9271552347899,4.87029187306376,5.01479750534712,5.06455658659021,5.64835656678995,4.91234053132987,4.74667578171127,5.00011910163372
"ENSMUSG00000000127",8.30768524253272,8.37593017492276,8.23260625921167,8.28539508642043,8.43228316510574,8.19440449156753,8.30559051051216,8.03260854556944,8.18948737461996,8.51777238552408,8.41163579182667
"ENSMUSG00000000131",9.97789186891904,10.0380759196537,9.02628614741001,9.99599142032843,10.1215568355001,10.6223134803882,10.2146046749157,10.5248892633796,10.2612116896893,10.0241876660209,9.51028713415135
"ENSMUSG00000000134",9.48658661999957,9.16671400065085,8.2647622666389,8.87126466088936,9.16289109109775,9.24540794276879,9.21542395948797,9.63541609133631,9.64852649961671,9.36952499124408,8.64250755898689
"ENSMUSG00000000142",8.87668362028379,9.52465290860065,8.52650462140612,9.47940819481678,9.34396753904062,9.11489534501784,9.4386584768479,11.18251137861,8.53253115489268,8.36974824041086,7.71792769435035
"ENSMUSG00000000148",8.21809755593945,7.8241356428875,7.9656478751244,8.02553180790697,7.78954064491406,8.15469373533139,7.72888974568236,7.93131886441038,7.78532929631613,7.6600641847483,7.63955646250533
"ENSMUSG00000000149",9.33670891703921,9.27112001749127,9.05486126421966,9.10077632822939,8.78971421959905,9.44349615111213,9.25095785946223,9.29844679755512,9.24222243914195,8.94136549023892,9.21725928533152
"ENSMUSG00000000154",10.3637445807398,10.3409700240982,10.7481782486666,10.1405358742402,10.1247969544501,9.61733787063913,10.0072788815867,10.3649683508311,9.6548372382557,9.6562717512937,9.9613530546908
"ENSMUSG00000000157",3.45187409437582,3.45187409437582,3.45187409437582,3.45187409437582,3.76237262909477,4.58400333732464,3.45187409437582,4.39982886522407,4.50268901398218,4.01740970166262,5.46525595941768
"ENSMUSG00000000159",9.41512410273636,10.0810970752136,10.4069391137508,9.94963938006015,10.394471130109,9.46618297085339,10.096646730456,10.8724602585391,10.3965568353836,10.518306466582,11.4252628146597
