"","NI_V_1","NI_V_2","NI_V_4","NI_V_6","NI_V_7","I_V_1","I_V_2","I_V_4","I_V_5","I_V_6"
"ENSMUSG00000000001",11.7857107416911,12.0518909904797,11.5118147851386,11.7919999471149,12.2515925047374,12.3844483087727,12.1009392228521,12.304065999875,12.2860729843428,11.8797755305816
"ENSMUSG00000000003",3.94918846813091,3.94918846813091,3.94918846813091,13.4969128218672,4.25912512932071,3.94918846813091,4.58595373842923,8.04827552633256,3.94918846813091,3.94918846813091
"ENSMUSG00000000028",6.75233755264471,8.23077021758475,7.27428411993328,7.32940278658624,8.48569705580941,8.01689077774272,7.97312653589854,8.57688236205668,8.71917675672868,8.66925161023145
"ENSMUSG00000000037",4.83102883433265,6.05298417182307,6.35045241927008,5.36767720547065,5.80889466006454,4.81637199946165,5.57626623996376,4.42854826094896,4.66695522992635,4.3037444254803
"ENSMUSG00000000049",3.94918846813091,4.82874595483845,4.73368388018188,4.25217833041952,4.38955726485113,3.94918846813091,4.46799117459603,4.56664614124362,4.44165581352393,4.7399315496104
"ENSMUSG00000000056",10.424767798406,10.1344912826485,8.28537964737876,10.268950954501,10.3831918363364,9.7670946281071,9.65230001995914,9.96009114258072,10.0781251428867,9.68232649906212
"ENSMUSG00000000058",8.32638211133111,8.48497551037468,7.75218709454716,8.43912789900813,8.62589759244117,8.68013469239815,8.45084130313233,8.8990092202508,8.21087347748301,8.01441756874845
"ENSMUSG00000000078",12.0249671999634,11.8203533472372,11.8610123308306,12.1756584830965,11.9613921262903,12.2108887635948,12.1212879524109,12.2408056315294,12.3893587517403,12.4106037034373
"ENSMUSG00000000085",9.22354109219298,9.06337305738042,9.32569511457472,9.02054251350384,9.20954518550672,9.1163300602784,9.40238354148759,9.05328787544243,9.30451124707463,9.31741845548972
"ENSMUSG00000000088",12.8724949811903,12.8684376465096,13.7610691974797,12.5337253425573,12.6815054636381,12.5442223549794,12.548685730942,12.7123836109039,12.9739257463116,13.8113912341511
"ENSMUSG00000000093",6.4629804399901,6.73051633707631,6.6440152570005,6.38451641118292,6.40074813880304,6.34796159430801,6.48513434000608,6.41397354454289,6.26436198797222,6.17007586025394
"ENSMUSG00000000094",5.08123139688216,4.93344392536008,4.63161860084146,4.59676034951244,4.69417481905375,5.1693988174453,4.95373571976874,4.93829343505612,4.62436448249892,4.55845161269573
"ENSMUSG00000000120",6.64150188687226,6.92074229470293,8.06902862680664,6.95693572458602,6.48947725069623,6.21791611536888,6.25320396532274,6.44968165321402,6.10615097963795,5.87722370591172
